country,region,period,year,month,week,date,deaths,expected_deaths,excess_deaths,excess_deaths_pct
Italy,Italy,week,2015,1,2,2015-01-15,16016,16016,0,0
Italy,Italy,week,2015,1,3,2015-01-22,15282,15337,-55,-0.35860989763317264
Italy,Italy,week,2015,1,4,2015-01-29,15040,15040,0,0
Italy,Italy,week,2015,2,5,2015-02-05,15899,15899,0,0
Italy,Italy,week,2015,2,6,2015-02-12,15713,14252,1461,10.251192815043495
Italy,Italy,week,2015,2,7,2015-02-19,15490,14232,1258,8.839235525576171
Italy,Italy,week,2015,2,8,2015-02-26,15093,14139,954,6.747294716740939
Italy,Italy,week,2015,3,9,2015-03-05,14610,14610,0,0
Italy,Italy,week,2015,3,10,2015-03-12,14055,13772,283,2.0548939878013357
Italy,Italy,week,2015,3,11,2015-03-19,13749,13206,543,4.111767378464322
Italy,Italy,week,2015,3,12,2015-03-26,13556,12868,688,5.346596207646883
Italy,Italy,week,2015,4,13,2015-04-02,12994,12708,286,2.250550834120247
Italy,Italy,week,2015,4,14,2015-04-09,12798,12682,116,0.9146822267781118
Italy,Italy,week,2015,4,15,2015-04-16,13263,12182,1081,8.873748153012656
Italy,Italy,week,2015,4,16,2015-04-23,12567,12101,466,3.850921411453598
Italy,Italy,week,2015,4,17,2015-04-30,12073,11783,290,2.4611728761775566
Italy,Italy,week,2016,1,2,2016-01-15,13449,16016,-2567,-16.027722277722276
Italy,Italy,week,2016,1,3,2016-01-22,13373,15337,-1964,-12.805633435482818
Italy,Italy,week,2016,1,4,2016-01-29,13595,15040,-1445,-9.607712765957444
Italy,Italy,week,2016,2,5,2016-02-05,13264,15899,-2635,-16.573369394301523
Italy,Italy,week,2016,2,6,2016-02-12,13354,14252,-898,-6.300870053325852
Italy,Italy,week,2016,2,7,2016-02-19,13035,14232,-1197,-8.410623946037106
Italy,Italy,week,2016,2,8,2016-02-26,12845,14139,-1294,-9.15199094702595
Italy,Italy,week,2016,3,9,2016-03-04,12864,14610,-1746,-11.950718685831617
Italy,Italy,week,2016,3,10,2016-03-11,12924,13772,-848,-6.157420853906487
Italy,Italy,week,2016,3,11,2016-03-18,12939,13206,-267,-2.0218082689686554
Italy,Italy,week,2016,3,12,2016-03-25,13047,12868,179,1.3910475598383698
Italy,Italy,week,2016,4,13,2016-04-01,12708,12708,0,0
Italy,Italy,week,2016,4,14,2016-04-08,12682,12682,0,0
Italy,Italy,week,2016,4,15,2016-04-15,11974,12182,-208,-1.7074372024298157
Italy,Italy,week,2016,4,16,2016-04-22,11789,12101,-312,-2.5782993141062747
Italy,Italy,week,2016,4,17,2016-04-29,11593,11783,-190,-1.6124925740473515
Italy,Italy,week,2017,1,2,2017-01-15,19235,16016,3219,20.098651348651345
Italy,Italy,week,2017,1,3,2017-01-22,18102,15337,2765,18.028297581013234
Italy,Italy,week,2017,1,4,2017-01-29,16655,15040,1615,10.738031914893625
Italy,Italy,week,2017,2,5,2017-02-05,15959,15899,60,0.3773822252971968
Italy,Italy,week,2017,2,6,2017-02-12,14252,14252,0,0
Italy,Italy,week,2017,2,7,2017-02-19,13980,14232,-252,-1.7706576728499215
Italy,Italy,week,2017,2,8,2017-02-26,13462,14139,-677,-4.788174552655775
Italy,Italy,week,2017,3,9,2017-03-05,13248,14610,-1362,-9.322381930184804
Italy,Italy,week,2017,3,10,2017-03-12,13046,13772,-726,-5.271565495207668
Italy,Italy,week,2017,3,11,2017-03-19,12910,13206,-296,-2.2414054217779693
Italy,Italy,week,2017,3,12,2017-03-26,12733,12868,-135,-1.0491140814423403
Italy,Italy,week,2017,4,13,2017-04-02,12432,12708,-276,-2.1718602455146367
Italy,Italy,week,2017,4,14,2017-04-09,12031,12682,-651,-5.133259738211635
Italy,Italy,week,2017,4,15,2017-04-16,12276,12182,94,0.7716302741750098
Italy,Italy,week,2017,4,16,2017-04-23,11753,12101,-348,-2.875795388810843
Italy,Italy,week,2017,4,17,2017-04-30,12145,11783,362,3.072222693711282
Italy,Italy,week,2018,1,2,2018-01-15,16021,16016,5,0.031218781218782965
Italy,Italy,week,2018,1,3,2018-01-22,15337,15337,0,0
Italy,Italy,week,2018,1,4,2018-01-29,14832,15040,-208,-1.382978723404264
Italy,Italy,week,2018,2,5,2018-02-05,14662,15899,-1237,-7.780363544877034
Italy,Italy,week,2018,2,6,2018-02-12,13989,14252,-263,-1.8453550378894192
Italy,Italy,week,2018,2,7,2018-02-19,14232,14232,0,0
Italy,Italy,week,2018,2,8,2018-02-26,14139,14139,0,0
Italy,Italy,week,2018,3,9,2018-03-05,14752,14610,142,0.9719370294318992
Italy,Italy,week,2018,3,10,2018-03-12,14206,13772,434,3.151321521928537
Italy,Italy,week,2018,3,11,2018-03-19,13309,13206,103,0.779948508253824
Italy,Italy,week,2018,3,12,2018-03-26,12560,12868,-308,-2.3935343487721497
Italy,Italy,week,2018,4,13,2018-04-02,12849,12708,141,1.1095372993389958
Italy,Italy,week,2018,4,14,2018-04-09,12627,12682,-55,-0.43368553855859204
Italy,Italy,week,2018,4,15,2018-04-16,12144,12182,-38,-0.3119356427516067
Italy,Italy,week,2018,4,16,2018-04-23,12101,12101,0,0
Italy,Italy,week,2018,4,17,2018-04-30,11719,11783,-64,-0.5431553933633211
Italy,Italy,week,2019,1,2,2019-01-15,15215,16016,-801,-5.0012487512487525
Italy,Italy,week,2019,1,3,2019-01-22,15535,15337,198,1.2909956314794329
Italy,Italy,week,2019,1,4,2019-01-29,15616,15040,576,3.8297872340425414
Italy,Italy,week,2019,2,5,2019-02-05,16009,15899,110,0.6918674130448608
Italy,Italy,week,2019,2,6,2019-02-12,15417,14252,1165,8.174291327532984
Italy,Italy,week,2019,2,7,2019-02-19,15157,14232,925,6.499437886453066
Italy,Italy,week,2019,2,8,2019-02-26,14555,14139,416,2.942216564113437
Italy,Italy,week,2019,3,9,2019-03-05,14801,14610,191,1.3073237508555877
Italy,Italy,week,2019,3,10,2019-03-12,13772,13772,0,0
Italy,Italy,week,2019,3,11,2019-03-19,13206,13206,0,0
Italy,Italy,week,2019,3,12,2019-03-26,12868,12868,0,0
Italy,Italy,week,2019,4,13,2019-04-02,12517,12708,-191,-1.5029902423670052
Italy,Italy,week,2019,4,14,2019-04-09,12734,12682,52,0.41002996372812106
Italy,Italy,week,2019,4,15,2019-04-16,12182,12182,0,0
Italy,Italy,week,2019,4,16,2019-04-23,12458,12101,357,2.9501694074869818
Italy,Italy,week,2019,4,17,2019-04-30,11783,11783,0,0
Netherlands,Netherlands,week,2010,1,2,2010-01-15,2830,3359,-529,-15.748734742482881
Netherlands,Netherlands,week,2010,1,3,2010-01-22,2846,3364,-518,-15.398335315101079
Netherlands,Netherlands,week,2010,1,4,2010-01-29,2865,3322,-457,-13.756773028296209
Netherlands,Netherlands,week,2010,2,5,2010-02-05,2858,3322,-464,-13.9674894641782
Netherlands,Netherlands,week,2010,2,6,2010-02-12,2831,3272,-441,-13.477995110024452
Netherlands,Netherlands,week,2010,2,7,2010-02-19,2900,3311,-411,-12.413168227121716
Netherlands,Netherlands,week,2010,2,8,2010-02-26,2929,3328,-399,-11.989182692307693
Netherlands,Netherlands,week,2010,3,9,2010-03-05,2757,3185,-428,-13.437990580847725
Netherlands,Netherlands,week,2010,3,10,2010-03-12,2760,3171,-411,-12.961210974456009
Netherlands,Netherlands,week,2010,3,11,2010-03-19,2686,3086,-400,-12.961762799740768
Netherlands,Netherlands,week,2010,3,12,2010-03-26,2687,3042,-355,-11.669953977646287
Netherlands,Netherlands,week,2010,4,13,2010-04-02,2586,3037,-451,-14.850181099769515
Netherlands,Netherlands,week,2010,4,14,2010-04-09,2472,2900,-428,-14.758620689655174
