rid,Root.word,Rating
R0303,affect,Strong
R0303,appear,Moderate
R0303,decline,Weak
R0303,maintain,Moderate
R0303,enhance,Moderate
R0303,cause,Strong
R0303,associate,Weak
R0303,better,Strong
R0303,contribute,Strong
R0303,correlate,None
R0303,experience,Weak
R0303,marker,Weak
R0303,twice,Weak
R0303,protect,Strong
R0303,improve,Strong
R0303,consistent,None
R0303,risk factor,Strong
R0303,elevate,Moderate
R0303,due,Strong
R0303,indicate,Weak
R0303,lead,Strong
R0303,factor,Weak
R0303,determinant,Strong
R0303,likelihood,Weak
R0303,link,Weak
R0303,response,Moderate
R0303,worse,Strong
R0303,attribute,Strong
R0303,less,Weak
R0303,observe,None
R0303,encourage,Weak
R0303,occur,None
R0303,confer,Strong
R0303,reduce,Strong
R0303,alter,Strong
R0303,result,Moderate
R0303,impact,Strong
R0303,greater,Weak
R0303,change,Moderate
R0303,risk,Moderate
R0303,differ,Weak
R0303,effect,Strong
R0303,likely,Weak
R0303,explain,Strong
R0303,present,None
R0303,face,Weak
R0303,precede,Moderate
R0303,achieve,Strong
R0303,increase,Weak
R0303,reveal,Weak
R0303,relate,Weak
R0303,trend,Weak
R0303,demonstrate,Weak
R0303,prevent,Strong
R0303,decrease,Moderate
R0303,vary,Weak
R0303,lower,Strong
R0303,compare,Weak
R0303,role,Strong
R0303,excess,Strong
R0303,effective,Strong
R0303,produce,Strong
R0303,higher,Weak
R0303,influence,Strong
R0303,predict,None
R0303,similar,Weak
R0303,benefit,Strong
R0440,occur,Weak
R0440,likely,Moderate
R0440,excess,Moderate
R0440,risk,Moderate
R0440,result,Strong
R0440,response,Moderate
R0440,relate,Moderate
R0440,enhance,Strong
R0440,elevate,Moderate
R0440,lower,Moderate
R0440,indicate,Weak
R0440,face,Weak
R0440,consistent,Weak
R0440,encourage,None
R0440,trend,Weak
R0440,produce,Strong
R0440,maintain,Moderate
R0440,reduce,Strong
R0440,associate,Moderate
R0440,improve,Strong
R0440,benefit,Weak
R0440,vary,Weak
R0440,experience,Weak
R0440,worse,Moderate
R0440,contribute,Moderate
R0440,protect,Strong
R0440,reveal,Weak
R0440,confer,Strong
R0440,impact,Strong
R0440,increase,Moderate
R0440,risk factor,Moderate
R0440,observe,Moderate
R0440,factor,Weak
R0440,differ,Moderate
R0440,cause,Strong
R0440,predict,Moderate
R0440,decrease,Moderate
R0440,greater,Moderate
R0440,likelihood,Moderate
R0440,higher,Moderate
R0440,twice,Moderate
R0440,better,Moderate
R0440,effective,Strong
R0440,precede,Moderate
R0440,link,Moderate
R0440,affect,Strong
R0440,prevent,Strong
R0440,lead,Strong
R0440,marker,Strong
R0440,achieve,Strong
R0440,present,Weak
R0440,correlate,Moderate
R0440,change,Moderate
R0440,effect,Strong
R0440,decline,Moderate
R0440,attribute,Moderate
R0440,alter,Moderate
R0440,due,Strong
R0440,determinant,Strong
R0440,less,Weak
R0440,compare,Moderate
R0440,role,Moderate
R0440,appear,Moderate
R0440,similar,None
R0440,demonstrate,Moderate
R0440,explain,Strong
R0440,influence,Strong
R0449,associate,None
R0449,observe,None
R0449,risk factor,Weak
R0449,role,Moderate
R0449,benefit,Strong
R0449,lower,Weak
R0449,result,Strong
R0449,encourage,Weak
R0449,decrease,Weak
R0449,improve,Strong
R0449,due,Strong
R0449,explain,Strong
R0449,precede,Weak
R0449,protect,Moderate
R0449,confer,Weak
R0449,trend,Weak
R0449,greater,Weak
R0449,appear,None
R0449,effective,Strong
R0449,experience,None
R0449,twice,None
R0449,prevent,Strong
R0449,affect,Strong
R0449,reveal,Moderate
R0449,occur,Weak
R0449,produce,Strong
R0449,likely,Weak
R0449,relate,None
R0449,change,Moderate
R0449,likelihood,Weak
R0449,reduce,Moderate
R0449,correlate,None
R0449,attribute,Strong
R0449,impact,Strong
R0449,compare,None
R0449,higher,Weak
R0449,better,Weak
R0449,cause,Strong
R0449,factor,Weak
R0449,predict,Weak
R0449,less,Weak
R0449,maintain,Weak
R0449,link,None
R0449,influence,Moderate
R0449,determinant,Strong
R0449,consistent,Weak
R0449,worse,Weak
R0449,alter,Moderate
R0449,achieve,Weak
R0449,enhance,Moderate
R0449,differ,Weak
R0449,demonstrate,Weak
