root_word,rating,n
achieve,None,6
achieve,Weak,10
achieve,Moderate,17
achieve,Strong,14
affect,Weak,3
affect,Moderate,7
affect,Strong,37
alter,None,1
alter,Weak,6
alter,Moderate,21
alter,Strong,19
appear,None,20
appear,Weak,21
appear,Moderate,5
appear,Strong,1
associate,None,21
associate,Weak,14
associate,Moderate,9
associate,Strong,3
attribute,Weak,3
attribute,Moderate,15
attribute,Strong,29
benefit,None,1
benefit,Weak,5
benefit,Moderate,17
benefit,Strong,24
better,None,6
better,Weak,22
better,Moderate,15
better,Strong,4
cause,Moderate,1
cause,Strong,46
change,None,3
change,Weak,14
change,Moderate,17
change,Strong,13
compare,None,22
compare,Weak,19
compare,Moderate,5
compare,Strong,1
confer,None,2
confer,Weak,12
confer,Moderate,17
confer,Strong,16
consistent,None,26
consistent,Weak,13
consistent,Moderate,7
consistent,Strong,1
contribute,None,1
contribute,Weak,6
contribute,Moderate,23
contribute,Strong,17
correlate,None,25
correlate,Weak,16
correlate,Moderate,6
decline,None,2
decline,Weak,18
decline,Moderate,19
decline,Strong,8
decrease,Weak,13
decrease,Moderate,18
decrease,Strong,16
demonstrate,None,14
demonstrate,Weak,16
demonstrate,Moderate,14
demonstrate,Strong,3
determinant,None,2
determinant,Weak,2
determinant,Moderate,16
determinant,Strong,27
differ,None,19
differ,Weak,19
differ,Moderate,8
differ,Strong,1
due,Weak,4
due,Moderate,13
due,Strong,30
effect,Weak,3
effect,Moderate,9
effect,Strong,35
effective,Weak,1
effective,Moderate,13
effective,Strong,33
elevate,None,2
elevate,Weak,14
elevate,Moderate,24
elevate,Strong,7
encourage,None,11
encourage,Weak,14
encourage,Moderate,17
encourage,Strong,5
enhance,None,1
enhance,Weak,8
enhance,Moderate,24
enhance,Strong,14
excess,None,6
excess,Weak,13
excess,Moderate,20
excess,Strong,8
experience,None,13
experience,Weak,24
experience,Moderate,9
experience,Strong,1
explain,None,1
explain,Weak,8
explain,Moderate,15
explain,Strong,23
face,None,18
face,Weak,24
face,Moderate,4
face,Strong,1
factor,None,5
factor,Weak,21
factor,Moderate,19
factor,Strong,2
greater,None,12
greater,Weak,15
greater,Moderate,17
greater,Strong,3
higher,None,6
higher,Weak,19
higher,Moderate,19
higher,Strong,3
impact,Weak,2
impact,Moderate,14
impact,Strong,31
improve,Weak,6
improve,Moderate,18
improve,Strong,23
increase,None,1
increase,Weak,9
increase,Moderate,27
increase,Strong,10
indicate,None,12
indicate,Weak,23
indicate,Moderate,12
influence,Weak,5
influence,Moderate,19
influence,Strong,23
lead,Weak,3
lead,Moderate,11
lead,Strong,33
less,None,9
less,Weak,25
less,Moderate,11
less,Strong,2
likelihood,None,6
likelihood,Weak,21
likelihood,Moderate,18
likelihood,Strong,2
likely,None,13
likely,Weak,23
likely,Moderate,11
link,None,9
link,Weak,23
link,Moderate,12
link,Strong,3
lower,None,6
lower,Weak,16
lower,Moderate,20
lower,Strong,5
maintain,None,6
maintain,Weak,16
maintain,Moderate,20
maintain,Strong,5
marker,None,9
marker,Weak,20
marker,Moderate,16
marker,Strong,2
observe,None,24
observe,Weak,16
observe,Moderate,7
occur,None,23
occur,Weak,17
occur,Moderate,6
occur,Strong,1
precede,None,11
precede,Weak,14
precede,Moderate,18
precede,Strong,4
predict,None,9
predict,Weak,16
predict,Moderate,18
predict,Strong,4
present,None,21
present,Weak,20
present,Moderate,5
present,Strong,1
prevent,Moderate,8
prevent,Strong,39
produce,None,2
produce,Weak,6
produce,Moderate,8
produce,Strong,31
protect,Weak,1
protect,Moderate,11
protect,Strong,35
reduce,Weak,6
reduce,Moderate,14
reduce,Strong,27
relate,None,9
relate,Weak,22
relate,Moderate,13
relate,Strong,3
response,None,4
response,Weak,13
response,Moderate,20
response,Strong,10
result,None,1
result,Weak,5
result,Moderate,13
result,Strong,28
reveal,None,17
reveal,Weak,18
reveal,Moderate,8
reveal,Strong,4
risk,None,5
risk,Weak,11
risk,Moderate,27
risk,Strong,4
risk factor,None,2
risk factor,Weak,12
risk factor,Moderate,26
risk factor,Strong,7
role,None,2
role,Weak,16
role,Moderate,24
role,Strong,5
similar,None,21
similar,Weak,20
similar,Moderate,5
similar,Strong,1
trend,None,16
trend,Weak,27
trend,Moderate,3
trend,Strong,1
twice,None,22
twice,Weak,12
twice,Moderate,11
twice,Strong,2
vary,None,24
vary,Weak,17
vary,Moderate,6
worse,None,8
worse,Weak,18
worse,Moderate,16
worse,Strong,5
